n-------- ATMOSPHERE ------------------------------------------
1                           :Nombre de modeles
100                         :Nombre maximal de points

-------- US76 ATMOSPHERE DATA(Z,ROAIR,VSOUND) ----------------
54                           :Nombre de points
3                            :Mode d interpolation (1=lineaire,2=cubique,3=spline)
1.4D0                        :Constante gama (gaz parfait)
286.8965D0                   :Constante R    (J/kg/K)
0                            :Variable lue en colonne 2 (0=densite ,1=pression)
0                            :Variable lue en colonne 3 (0=celerite,1=temperature)
 -0.25000000E+04   0.15473000E+01   0.34976000E+03
  0.00000000E+00   0.12249992E+01   0.34029410E+03
  0.20000000E+03   0.12016510E+01   0.33952563E+03
  0.40000000E+03   0.11786472E+01   0.33875549E+03
  0.60000000E+03   0.11559826E+01   0.33798361E+03
  0.80000000E+03   0.11336547E+01   0.33721002E+03
  0.10000000E+04   0.11116587E+01   0.33643469E+03
  0.15000000E+04   0.10581034E+01   0.33448874E+03
  0.20000000E+04   0.10065529E+01   0.33253174E+03
  0.25000000E+04   0.95695400E+00   0.33056345E+03
  0.30000000E+04   0.90925354E+00   0.32858365E+03
  0.35000000E+04   0.86340171E+00   0.32659219E+03
  0.40000000E+04   0.81934619E+00   0.32458884E+03
  0.45000000E+04   0.77703822E+00   0.32257336E+03
  0.50000000E+04   0.73642862E+00   0.32054553E+03
  0.55000000E+04   0.69746858E+00   0.31850510E+03
  0.60000000E+04   0.66011107E+00   0.31645184E+03
  0.65000000E+04   0.62430954E+00   0.31438550E+03
  0.70000000E+04   0.59001833E+00   0.31230579E+03
  0.75000000E+04   0.55719191E+00   0.31021249E+03
  0.80000000E+04   0.52578604E+00   0.30810532E+03
  0.85000000E+04   0.49575728E+00   0.30598395E+03
  0.90000000E+04   0.46706301E+00   0.30384808E+03
  0.95000000E+04   0.43966112E+00   0.30169748E+03
  0.10000000E+05   0.41351041E+00   0.29953177E+03
  0.10500000E+05   0.38857061E+00   0.29735062E+03
  0.11000000E+05   0.36480156E+00   0.29515369E+03
  0.12000000E+05   0.31193721E+00   0.29506958E+03
  0.13000000E+05   0.26659539E+00   0.29506958E+03
  0.14000000E+05   0.22785543E+00   0.29506958E+03
  0.15000000E+05   0.19475453E+00   0.29506958E+03
  0.17000000E+05   0.14230101E+00   0.29506958E+03
  0.19000000E+05   0.10399534E+00   0.29506958E+03
  0.24000000E+05   0.46937671E-01   0.29772015E+03
  0.28000000E+05   0.25076207E-01   0.30038596E+03
  0.33000000E+05   0.11572975E-01   0.30466708E+03
  0.39000000E+05   0.46267174E-02   0.31543253E+03
  0.42000000E+05   0.29947476E-02   0.32067245E+03
  0.45000000E+05   0.19662685E-02   0.32582333E+03
  0.47400000E+05   0.14186829E-02   0.32979886E+03
  0.51000000E+05   0.90689090E-03   0.32979886E+03
  0.55000000E+05   0.56809175E-03   0.32372388E+03
  0.60000000E+05   0.30967360E-03   0.31507355E+03
  0.70000000E+05   0.82827522E-04   0.29706143E+03
  0.80000000E+05   0.18457957E-04   0.28253802E+03
  0.90000000E+05   0.34161039E-05   0.27429633E+03
  0.10000000E+06   0.56072156E-06   0.28276547E+03
  0.11000000E+06   0.97080000E-07   0.32370000E+03
  0.12000000E+06   0.22218472E-07   0.38240000E+03
  0.15000000E+06   0.20760000E-08   0.62130000E+03
  0.16000000E+06   0.12330000E-08   0.66810000E+03
  0.17000000E+06   0.78150000E-09   0.69750000E+03
  0.19000000E+06   0.35810000E-09   0.73670000E+03
  0.23000000E+06   0.10290000E-09   0.78942493E+03
  0.23000000E+10   0.10290000E-09   0.78942493E+03
